"Gene","HRGeneName","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ENSG00000251194","RP1",4,19,3,7,0.0174696231215596,0.278434757004391,-1.84458878087019,1.75771646410651
"ENSG00000251201","TMED7",2,0,1,0,0.181561126292028,Inf,Inf,0.74097713182864
"ENSG00000251206","CTD",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251209","LINC00923",3,5,3,4,1,0.806511403226815,-0.310233163164878,0
"ENSG00000251211","RP11",10,9,5,6,0.484373962001339,1.50359259492496,0.588413715351673,0.314819210828476
"ENSG00000251215","GOLGA5P1",1,13,1,6,0.00575035622556574,0.102026567847675,-3.29298321414986,2.24030525061376
"ENSG00000251229","RP11",32,42,6,8,0.904468190898555,1.0267816518268,0.03812942087892,0.0436067021708335
"ENSG00000251235","RP11",1,2,1,2,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000251247","ZNF345",5,18,3,7,0.0538856367143464,0.368477082156739,-1.44035320280449,1.26852698113955
"ENSG00000251254","GTF2F2P1",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000251259","AC004069",6,5,4,3,0.543486772567334,1.62075828827263,0.69666895062596,0.264811021349393
"ENSG00000251278","AC006499",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251279","CTC",4,18,4,6,0.0274147489231606,0.29429141886548,-1.76468261900629,1.56201572723026
"ENSG00000251287","ALG1L2",3,5,3,3,1,0.806511403226815,-0.310233163164878,0
